Attendance Date,In Time,Last Out Time,Was at Work,
4-Feb-19,1:02 PM,10:27 PM,TRUE,
3-Feb-19,,,FALSE,
2-Feb-19,,,FALSE,
1-Feb-19,11:11 AM,10:36 PM,TRUE,
31-Jan-19,12:56 PM,11:01 PM,TRUE,
30-Jan-19,,,FALSE,
29-Jan-19,10:55 AM,10:41 PM,TRUE,
28-Jan-19,12:57 PM,10:57 PM,TRUE,
27-Jan-19,,,FALSE,
26-Jan-19,,,FALSE,
25-Jan-19,1:16 PM,10:45 PM,TRUE,
24-Jan-19,1:01 PM,10:22 PM,TRUE,
23-Jan-19,12:27 PM,12:27 PM,TRUE,
22-Jan-19,1:07 PM,10:18 PM,TRUE,
21-Jan-19,1:19 PM,10:16 PM,TRUE,
20-Jan-19,,,FALSE,
19-Jan-19,,,FALSE,
18-Jan-19,,,FALSE,
17-Jan-19,11:27 AM,11:35 AM,TRUE,
16-Jan-19,1:45 PM,10:21 PM,TRUE,
15-Jan-19,1:18 PM,10:58 PM,TRUE,
14-Jan-19,,,FALSE,
12-Jan-19,,,FALSE,
11-Jan-19,1:41 PM,10:20 PM,TRUE,
10-Jan-19,12:12 PM,10:17 PM,TRUE,
9-Jan-19,1:35 PM,12:04 AM,TRUE,
8-Jan-19,1:38 PM,10:25 PM,TRUE,
7-Jan-19,1:43 PM,10:41 PM,TRUE,
6-Jan-19,,,FALSE,
5-Jan-19,,,FALSE,
4-Jan-19,,,FALSE,
3-Jan-19,,,FALSE,
2-Jan-19,,,FALSE,
1-Jan-19,,,FALSE,
31-Dec-18,,,FALSE,
30-Dec-18,,,FALSE,
29-Dec-18,,,FALSE,
28-Dec-18,,,FALSE,
27-Dec-18,,,FALSE,
26-Dec-18,,,FALSE,
25-Dec-18,,,FALSE,
24-Dec-18,,,FALSE,
23-Dec-18,,,FALSE,
22-Dec-18,,,FALSE,
21-Dec-18,,,FALSE,
20-Dec-18,1:27 PM,11:19 PM,TRUE,
19-Dec-18,1:30 PM,10:29 PM,TRUE,
18-Dec-18,1:28 PM,10:16 PM,TRUE,
17-Dec-18,1:39 PM,10:18 PM,TRUE,
16-Dec-18,,,FALSE,
15-Dec-18,,,FALSE,
14-Dec-18,1:17 PM,10:40 PM,TRUE,
13-Dec-18,1:42 PM,10:44 PM,TRUE,
12-Dec-18,1:13 PM,1:13 PM,TRUE,
11-Dec-18,1:36 PM,10:32 PM,TRUE,
10-Dec-18,1:55 PM,12:30 AM,TRUE,
9-Dec-18,,,FALSE,
8-Dec-18,3:26 PM,3:31 PM,TRUE,
7-Dec-18,4:10 PM,10:23 PM,TRUE,
6-Dec-18,1:40 PM,10:18 PM,TRUE,
5-Dec-18,12:56 PM,11:30 PM,TRUE,
4-Dec-18,,,FALSE,
3-Dec-18,1:52 PM,1:30 AM,TRUE,
2-Dec-18,,,FALSE,
1-Dec-18,,,FALSE,
30-Nov-18,1:15 PM,10:53 PM,TRUE,
29-Nov-18,1:49 PM,2:01 AM,TRUE,
28-Nov-18,1:04 PM,1:51 AM,TRUE,
27-Nov-18,3:20 PM,12:30 AM,TRUE,
26-Nov-18,1:45 PM,12:35 AM,TRUE,
25-Nov-18,,,FALSE,
24-Nov-18,,,FALSE,
23-Nov-18,12:45 PM,1:30 AM,TRUE,
22-Nov-18,12:54 PM,2:26 AM,TRUE,
21-Nov-18,,,FALSE,
20-Nov-18,12:20 PM,6:42 PM,TRUE,
19-Nov-18,,,FALSE,
18-Nov-18,,,FALSE,
17-Nov-18,,,FALSE,
16-Nov-18,1:05 PM,12:16 AM,TRUE,
15-Nov-18,1:05 PM,11:20 PM,TRUE,
14-Nov-18,12:54 PM,12:17 AM,TRUE,
13-Nov-18,12:51 PM,11:23 PM,TRUE,
12-Nov-18,,,FALSE,
11-Nov-18,,,FALSE,
10-Nov-18,,,FALSE,
9-Nov-18,,,FALSE,
8-Nov-18,1:20 PM,12:34 AM,TRUE,
7-Nov-18,,,FALSE,
6-Nov-18,1:26 PM,12:42 AM,TRUE,
5-Nov-18,,,FALSE,
4-Nov-18,,,FALSE,
3-Nov-18,,,FALSE,
2-Nov-18,1:22 PM,12:31 AM,TRUE,
1-Nov-18,,,FALSE,
31-Oct-18,12:51 PM,11:58 PM,TRUE,
30-Oct-18,12:50 PM,1:34 AM,TRUE,
29-Oct-18,1:15 PM,1:22 AM,TRUE,
28-Oct-18,,,FALSE,
27-Oct-18,,,FALSE,
26-Oct-18,12:54 PM,12:43 AM,TRUE,
25-Oct-18,1:12 PM,11:43 PM,TRUE,
24-Oct-18,1:29 PM,10:50 PM,TRUE,
23-Oct-18,12:58 PM,12:35 AM,TRUE,
22-Oct-18,1:04 PM,12:24 AM,TRUE,
21-Oct-18,,,FALSE,
20-Oct-18,,,FALSE,
19-Oct-18,1:14 PM,11:14 PM,TRUE,
18-Oct-18,12:59 PM,1:36 AM,TRUE,
17-Oct-18,12:54 PM,3:15 AM,TRUE,
16-Oct-18,12:45 PM,1:30 AM,TRUE,
15-Oct-18,12:57 PM,12:27 AM,TRUE,
14-Oct-18,,,FALSE,
13-Oct-18,,,FALSE,
12-Oct-18,12:32 PM,12:42 AM,TRUE,
11-Oct-18,12:49 PM,12:45 AM,TRUE,
10-Oct-18,12:55 PM,12:26 AM,TRUE,
9-Oct-18,12:46 PM,10:51 PM,TRUE,
8-Oct-18,1:10 PM,1:18 AM,TRUE,
7-Oct-18,,,FALSE,
6-Oct-18,,,FALSE,
5-Oct-18,1:06 PM,12:44 AM,TRUE,
4-Oct-18,1:23 PM,12:10 AM,TRUE,
3-Oct-18,1:00 PM,2:06 AM,TRUE,
2-Oct-18,,,FALSE,
1-Oct-18,,,FALSE,
30-Sep-18,,,FALSE,
29-Sep-18,,,FALSE,
28-Sep-18,12:54 PM,10:16 PM,TRUE,
27-Sep-18,12:34 PM,11:49 PM,TRUE,
26-Sep-18,12:48 PM,12:47 AM,TRUE,
25-Sep-18,12:53 PM,11:08 PM,TRUE,
24-Sep-18,12:42 PM,12:40 AM,TRUE,
23-Sep-18,,,FALSE,
22-Sep-18,,,FALSE,
21-Sep-18,12:53 PM,10:34 PM,TRUE,
20-Sep-18,12:59 PM,11:39 PM,TRUE,
19-Sep-18,1:13 PM,12:04 AM,TRUE,
18-Sep-18,12:52 PM,11:27 PM,TRUE,
17-Sep-18,12:57 PM,11:19 PM,TRUE,
16-Sep-18,,,FALSE,
15-Sep-18,,,FALSE,
14-Sep-18,12:53 PM,10:45 PM,TRUE,
13-Sep-18,,,FALSE,
12-Sep-18,12:44 PM,11:00 PM,TRUE,
11-Sep-18,12:26 PM,12:25 AM,TRUE,
10-Sep-18,12:38 PM,11:08 PM,TRUE,
9-Sep-18,,,FALSE,
8-Sep-18,,,FALSE,
7-Sep-18,12:55 PM,11:09 PM,TRUE,
6-Sep-18,12:45 PM,10:41 PM,TRUE,
5-Sep-18,1:02 PM,12:09 AM,TRUE,
4-Sep-18,12:53 PM,12:50 AM,TRUE,
3-Sep-18,12:30 PM,10:11 PM,TRUE,
2-Sep-18,,,FALSE,
1-Sep-18,,,FALSE,
31-Aug-18,12:49 PM,9:47 PM,TRUE,
30-Aug-18,12:55 PM,11:19 PM,TRUE,
29-Aug-18,12:43 PM,12:07 AM,TRUE,
28-Aug-18,12:38 PM,10:31 PM,TRUE,
27-Aug-18,12:32 PM,11:49 PM,TRUE,
24-Aug-18,12:55 PM,10:38 PM,TRUE,
23-Aug-18,12:43 PM,12:12 AM,TRUE,
22-Aug-18,,,FALSE,
21-Aug-18,12:14 PM,12:03 AM,TRUE,
20-Aug-18,12:23 PM,11:06 PM,TRUE,
19-Aug-18,,,FALSE,
17-Aug-18,12:55 PM,12:00 AM,TRUE,
16-Aug-18,1:07 PM,12:13 AM,TRUE,
15-Aug-18,,,FALSE,
14-Aug-18,12:18 PM,1:01 AM,TRUE,
13-Aug-18,12:36 PM,10:08 PM,TRUE,
12-Aug-18,,,FALSE,
11-Aug-18,,,FALSE,
10-Aug-18,12:35 PM,12:14 AM,TRUE,
9-Aug-18,12:51 PM,10:28 PM,TRUE,
8-Aug-18,12:38 PM,10:36 PM,TRUE,
7-Aug-18,12:36 PM,1:28 AM,TRUE,
6-Aug-18,,,FALSE,
5-Aug-18,,,FALSE,
4-Aug-18,,,FALSE,
3-Aug-18,12:39 PM,1:32 AM,TRUE,
2-Aug-18,12:24 PM,3:17 AM,TRUE,
1-Aug-18,12:44 PM,12:26 AM,TRUE,
31-Jul-18,12:32 PM,11:46 PM,TRUE,
30-Jul-18,12:40 PM,3:16 AM,TRUE,
29-Jul-18,,,FALSE,
28-Jul-18,,,FALSE,
27-Jul-18,12:53 PM,10:41 PM,TRUE,
26-Jul-18,12:20 PM,11:14 PM,TRUE,
25-Jul-18,12:51 PM,12:13 AM,TRUE,
24-Jul-18,12:38 PM,12:19 AM,TRUE,
23-Jul-18,12:48 PM,1:37 AM,TRUE,
22-Jul-18,,,FALSE,
21-Jul-18,,,FALSE,
20-Jul-18,12:40 PM,11:56 PM,TRUE,
19-Jul-18,12:35 PM,11:38 PM,TRUE,
18-Jul-18,12:46 PM,10:55 PM,TRUE,
17-Jul-18,12:56 PM,11:21 PM,TRUE,
16-Jul-18,12:49 PM,11:15 PM,TRUE,
15-Jul-18,,,FALSE,
14-Jul-18,,,FALSE,
13-Jul-18,12:35 PM,1:58 AM,TRUE,
12-Jul-18,12:45 PM,12:38 AM,TRUE,
11-Jul-18,1:08 PM,12:36 AM,TRUE,
10-Jul-18,12:47 PM,11:45 PM,TRUE,
9-Jul-18,12:50 PM,12:33 AM,TRUE,
8-Jul-18,,,FALSE,
7-Jul-18,,,FALSE,
6-Jul-18,12:34 PM,5:17 PM,TRUE,
5-Jul-18,12:17 PM,12:34 AM,TRUE,
4-Jul-18,12:56 PM,11:00 PM,TRUE,
3-Jul-18,12:30 PM,10:30 PM,TRUE,
2-Jul-18,12:40 PM,11:29 PM,TRUE,
1-Jul-18,,,FALSE,
30-Jun-18,,,FALSE,
29-Jun-18,12:25 PM,2:09 AM,TRUE,
28-Jun-18,1:00 PM,3:27 AM,TRUE,
27-Jun-18,12:49 PM,2:55 AM,TRUE,
26-Jun-18,12:48 PM,1:55 AM,TRUE,
25-Jun-18,12:59 PM,11:32 PM,TRUE,
24-Jun-18,,,FALSE,
23-Jun-18,,,FALSE,
22-Jun-18,12:24 PM,10:25 PM,TRUE,
21-Jun-18,2:37 PM,1:47 AM,TRUE,
20-Jun-18,12:28 PM,4:10 AM,TRUE,
19-Jun-18,,,FALSE,
18-Jun-18,,,FALSE,
17-Jun-18,,,FALSE,
16-Jun-18,,,FALSE,
15-Jun-18,12:33 PM,4:29 AM,TRUE,
14-Jun-18,12:21 PM,11:57 PM,TRUE,
13-Jun-18,1:08 PM,11:50 PM,TRUE,
12-Jun-18,12:52 PM,10:16 PM,TRUE,
11-Jun-18,12:52 PM,7:49 PM,TRUE,
10-Jun-18,,,FALSE,
8-Jun-18,12:52 PM,1:26 AM,TRUE,
7-Jun-18,12:59 PM,10:18 PM,TRUE,
6-Jun-18,1:03 PM,11:48 PM,TRUE,
5-Jun-18,1:01 PM,10:26 PM,TRUE,
4-Jun-18,1:05 PM,11:05 PM,TRUE,
3-Jun-18,,,FALSE,
2-Jun-18,,,FALSE,
1-Jun-18,12:43 PM,10:20 PM,TRUE,
